,0
0,6
1,6
2,5
3,6
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,6
14,5
15,6
16,5
17,5
18,6
19,5
20,5
21,5
22,5
23,5
24,6
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,6
33,5
34,5
35,5
36,6
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,6
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,6
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,6
69,6
70,5
71,6
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,6
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,6
92,6
93,5
94,5
95,5
96,5
97,6
98,5
99,5
100,5
101,5
102,5
103,6
104,5
105,5
106,6
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,6
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,6
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,6
146,5
147,5
148,5
149,6
150,6
151,5
152,5
153,5
154,6
155,5
156,5
157,5
158,5
159,5
160,6
161,5
162,5
163,5
164,5
165,5
166,6
167,5
168,5
169,5
170,5
171,6
172,6
173,5
174,5
175,5
176,6
177,5
178,5
179,5
180,5
181,5
182,6
183,6
184,5
185,5
186,6
187,5
188,6
189,6
190,5
191,5
192,6
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,6
203,6
204,6
205,5
206,6
207,5
208,5
209,6
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,6
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,6
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,6
244,6
245,6
246,6
247,5
248,6
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,6
259,5
260,5
261,5
262,5
263,6
264,5
265,5
266,6
267,5
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,6
277,6
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,6
289,5
290,6
291,5
292,5
293,5
294,5
295,5
296,5
297,5
298,5
299,5
300,6
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,5
314,5
315,5
316,5
317,6
318,6
319,5
